Tlab, partial wave, pn, delta, error
  1, 1S0, pn,  62.068, 0.030
  5, 1S0, pn,  63.63,   0.08
 10, 1S0, pn,  59.56,   0.11
 25, 1S0, pn,  50.90,   0.19
 50, 1S0, pn,  40.54,   0.28
100, 1S0, pn,  26.78,   0.38
150, 1S0, pn,  16.94,   0.41
200, 1S0, pn,   8.94,   0.39
250, 1S0, pn,   1.96,   0.37
300, 1S0, pn,  -4.46,   0.43
350, 1S0, pn, -10.59,   0.62
  1, 1F3, pn, -0.000,    0.0
  5, 1F3, pn, -0.011,    0.0
 10, 1F3, pn, -0.066,    0.0
 25, 1F3, pn, -0.415,    0.0
 50, 1F3, pn, -1.101,    0.0
100, 1F3, pn, -2.089,  0.003
150, 1F3, pn, -2.702,  0.011
200, 1F3, pn, -3.235,  0.027
250, 1F3, pn,  -3.88,   0.05
300, 1F3, pn,  -4.72,   0.08
350, 1F3, pn,  -5.80,   0.12
  1, 1P1, pn,  -0.187,    0.0
  5, 1P1, pn,  -1.487,  0.004
 10, 1P1, pn,  -3.039,  0.012
 25, 1P1, pn,  -6.311,  0.039
 50, 1P1, pn,   -9.67,   0.08
100, 1P1, pn,  -14.52,   0.14
150, 1P1, pn,  -18.65,   0.16
200, 1P1, pn,  -22.18,   0.18
250, 1P1, pn,  -25.13,   0.20
300, 1P1, pn,  -27.58,   0.22
350, 1P1, pn,  -29.66,   0.33
  1, 3D1, pn,  -0.005,    0.0
  5, 3D1, pn,  -0.183,    0.0
 10, 3D1, pn,  -0.677,  0.001
 25, 3D1, pn,  -2.799,  0.006
 50, 3D1, pn,  -6.433,  0.017
100, 3D1, pn,  -12.23,   0.05
150, 3D1, pn,  -16.48,   0.09
200, 3D1, pn,  -19.71,   0.14
250, 3D1, pn,  -22.21,   0.16
300, 3D1, pn,  -24.14,   0.18
350, 3D1, pn,  -25.57,   0.30
  1, 3D2, pn,  0.006, 0.0
  5, 3D2, pn,  0.222, 0.0
 10, 3D2, pn,  0.846, 0.0
 25, 3D2, pn,  3.708, 0.003
 50, 3D2, pn,  8.966, 0.017
100, 3D2, pn,  17.28, 0.06
150, 3D2, pn,  22.13, 0.10
200, 3D2, pn,  24.51, 0.11
250, 3D2, pn,  25.40, 0.11
300, 3D2, pn,  25.45, 0.12
350, 3D2, pn,  25.08, 0.19
  1, 3D3, pn,  0.000, 0.0
  5, 3D3, pn,  0.002, 0.0
 10, 3D3, pn,  0.006, 0.0
 25, 3D3, pn,  0.048, 0.0
 50, 3D3, pn,  0.324, 0.003
100, 3D3, pn,  1.457, 0.014
150, 3D3, pn,  2.736, 0.033
200, 3D3, pn,   3.74,  0.06
250, 3D3, pn,   4.37,  0.09
300, 3D3, pn,   4.62,  0.12
350, 3D3, pn,   4.60,  0.16
  1, 3G3, pn,  -0.000,  0.0
  5, 3G3, pn,  -0.000,  0.0
 10, 3G3, pn,  -0.004,  0.0
 25, 3G3, pn,  -0.053,  0.0
 50, 3G3, pn,  -0.258,  0.0
100, 3G3, pn,  -0.934,  0.0
150, 3G3, pn,  -1.737,  0.0
200, 3G3, pn,  -2.534,  0.001
250, 3G3, pn,  -3.265,  0.001
300, 3G3, pn,  -3.902,  0.004
350, 3G3, pn,  -4.440,  0.007
  1, 3G4, pn,  0.000,  0.0
  5, 3G4, pn,  0.001,  0.0
 10, 3G4, pn,  0.014,  0.0
 25, 3G4, pn,  0.169,  0.0
 50, 3G4, pn,  0.716,  0.0
100, 3G4, pn,  2.154,  0.0
150, 3G4, pn,  3.618,  0.0
200, 3G4, pn,  4.987,  0.0
250, 3G4, pn,  6.232,  0.0
300, 3G4, pn,  7.337,  0.0
350, 3G4, pn,  8.294,  0.0
  1, 3S1, pn,  147.747,   0.010
  5, 3S1, pn,  118.178,   0.021
 10, 3S1, pn,  102.611,   0.035
 25, 3S1, pn,    80.63,   0.07
 50, 3S1, pn,    62.77,   0.10
100, 3S1, pn,    43.23,   0.14
150, 3S1, pn,    30.72,   0.14
200, 3S1, pn,    21.22,   0.15
250, 3S1, pn,    13.39,   0.17
300, 3S1, pn,     6.60,   0.23
350, 3S1, pn,    0.502,   0.32
  1, 3S1-3D1, pn,  0.105,  0.001
  5, 3S1-3D1, pn,  0.672,  0.004
 10, 3S1-3D1, pn,  1.159,  0.010
 25, 3S1-3D1, pn,  1.793,  0.025
 50, 3S1-3D1, pn,  2.109,  0.048
100, 3S1-3D1, pn,   2.42,   0.09
150, 3S1-3D1, pn,   2.75,   0.11
200, 3S1-3D1, pn,   3.13,   0.12
250, 3S1-3D1, pn,   3.56,   0.13
300, 3S1-3D1, pn,   4.03,   0.17
350, 3S1-3D1, pn,   4.57,   0.25
  1, 3D3-3G3, pn,  0.000, 0.0
  5, 3D3-3G3, pn,  0.013, 0.0
 10, 3D3-3G3, pn,  0.081, 0.0
 25, 3D3-3G3, pn,  0.549, 0.0
 50, 3D3-3G3, pn,  1.600, 0.0
100, 3D3-3G3, pn,  3.469, 0.002
150, 3D3-3G3, pn,  4.804, 0.008
200, 3D3-3G3, pn,  5.723, 0.020
250, 3D3-3G3, pn,  6.357, 0.037
300, 3D3-3G3, pn,   6.80,  0.06
350, 3D3-3G3, pn,   7.13,  0.09
  1, 1D2,  pn,  0.00, 0.0
  5, 1D2,  pn,  0.04, 0.0
 10, 1D2,  pn,  0.16, 0.0
 25, 1D2,  pn,  0.68, 0.0
 50, 1D2,  pn,  1.73, 0.0
100, 1D2,  pn,  3.90, 0.0
150, 1D2,  pn,  5.79, 0.0
200, 1D2,  pn,  7.29, 0.0
250, 1D2,  pn,  8.53, 0.0
300, 1D2,  pn,  9.69, 0.0
350, 1D2,  pn, 10.96, 0.0
  1, 1G4,  pn,  0.00, 0.0
  5, 1G4,  pn,  0.00, 0.0
 10, 1G4,  pn,  0.00, 0.0
